CustomerID;Name;Gender;Age;City;Signup_Date;Last_purchase_date; purchase_amount ;feedback_score;email;Phone_number;Phone_numbre_10_digits;Country
;Ankit;Female;36;Mumbai;31/12/2024;13/8/2025;;2;;;;Canada
C2;Ravi;Female;;Kolkata;;;;1;user1mail.com;;;Canada
C3;Ravi;Female;66;Ahmedabad;;20/6/2023;;10;user2@mail.com;;;India
C4;Ankit;Male;44;Kolkata;;13/9/2025;;;;9316267914;9316267914;USA
C5;Rahul;Male;;Ahmedabad;9/7/2025;;;;user4mail.com;923463292;0923463292;USA
C6;Amit;;64;Mumbai;;;;5;;;;UK
C7;Kiran;;;Pune;;;;;user6mail.com;;;Australia
C8;Rahul;;;Delhi;;15/11/2021;;10;user7@mail.com;;;Canada
C9;Simran;Female;;Pune;;;;1;;;;India
C10;Simran;;;Pune;18/12/2023;;887.49;10;user9mail.com;;;Canada
;Ankit;;24;Chennai;;;;1;user10mail.com;;;
C12;Ravi;Male;;Hyderabad;29/5/2025;20/3/2021;2712.5;3;;;;UK
C13;Rahul;Male;;Bangalore;;;2822;1;user12@mail.com;;;Australia
C14;Ravi;;;Mumbai;15/12/2024;26/3/2022;;1;;;;USA
C15;Kiran;;62;;16/10/2022;4/12/2025;;5;;9614759;0009614759;USA
;;Female;30;Pune;;;;;user15mail.com;;;Canada
C17;Pooja;Male;;Pune;18/12/2021;11/11/2022;509.03;5;;;;India
C18;Priya;Female;;Ahmedabad;;10/10/2021;1582.43;;user17mail.com;;;UK
C19;Sneha;;38;Pune;7/1/2023;;;1;user18mail.com;;;
C20;Simran;Male;;Pune;21/7/2021;6/7/2024;938.55;1;;9533545457;9533545457;Canada
C21;;Female;26;Mumbai;28/6/2021;;;2;;972985722;0972985722;USA
C22;Ravi;Male;;Kolkata;;;;;user21@mail.com;9164267579;9164267579;
C23;Rahul;Male;;Bangalore;28/5/2022;;;;;;;Australia
C24;Kiran;Male;;Chennai;;;;10;user23mail.com;;;
;Ankit;Female;;Hyderabad;;;;4;;;;Australia
C26;Simran;Female;;Kolkata;17/7/2025;5/9/2020;1250.98;;;;;UK
;Kiran;;;Kolkata;28/5/2024;14/11/2020;4772.57;4;user26mail.com;;;UK
C28;Neha;Female;;Ahmedabad;;30/5/2022;84.02;2;user27mail.com;969339416;0969339416;Australia
C29;;;47;Hyderabad;;;;2;user28@mail.com;;;
C30;Simran;;;Pune;11/10/2022;13/6/2024;;10;;;;India
C31;Sneha;;21;Mumbai;28/2/2025;;;10;user30mail.com;9919454989;9919454989;USA
;Rahul;Female;;;;9/5/2024;41.61;;;;;Canada
C33;Ravi;;;Chennai;30/11/2025;23/1/2024;;4;user32mail.com;;;
;;Male;;Kolkata;16/4/2023;6/4/2023;;;;92817545;0092817545;Canada
C35;Pooja;Male;;;31/5/2023;;1380.12;;;;;India
C36;Rahul;Male;;Delhi;26/9/2024;;;;;;;Australia
C37;Rahul;Male;;Pune;;18/5/2025;;1;user36@mail.com;9168733414;9168733414;
C38;Kiran;Female;;Mumbai;;3/12/2025;;1;user37mail.com;;;India
C39;Ankit;Male;;Pune;12/10/2025;;870.32;1;;;;UK
C40;Rahul;Male;;;26/6/2024;;;1;;;;India
C41;Ravi;;42;Ahmedabad;8/1/2023;;;1;;;;Canada
;Simran;Female;;;;;;1;user41@mail.com;;;Canada
C43;Kiran;Female;;;;;1719.83;5;user42mail.com;;;Australia
;Kiran;Female;50;Chennai;13/11/2024;;;1;;;;Australia
C45;Neha;Female;;Chennai;7/12/2022;;3631.99;1;;;;Australia
;Neha;Female;67;Ahmedabad;;1/7/2022;1661.36;1;user45mail.com;;;USA
C47;Rahul;Male;47;Mumbai;25/10/2024;;;10;;9948993;0009948993;India
C48;;Female;;Pune;;8/4/2022;;3;;;;India
C49;Sneha;Male;22;Mumbai;;15/3/2024;;5;user48@mail.com;;;Australia
C50;Sneha;Female;38;Delhi;;;3841.35;1;;912598338;0912598338;
;;Female;;Kolkata;;;;1;;;;Canada
C52;;Male;52;;;;;;;9821999811;9821999811;UK
C53;Rahul;Male;24;;;14/6/2024;;;user52@mail.com;9246223934;9246223934;UK
C54;Sneha;Female;;Mumbai;25/7/2021;;3147.13;;;;;Australia
C55;Amit;Male;;Pune;;;4911.38;1;;;;Australia
C56;Rahul;Female;;Chennai;;;;1;;;;USA
C57;Ravi;Male;;Hyderabad;;28/7/2021;;1;;;;India
;Pooja;Female;;Chennai;24/9/2023;;;1;;928493774;0928493774;Canada
C59;Simran;Female;;Mumbai;;;;1;user58mail.com;;;Canada
;;Male;57;Kolkata;;;4812.75;10;;;;
C61;Pooja;Female;59;Kolkata;;;;1;;;;Canada
;;Male;;Kolkata;12/4/2024;21/1/2026;;4;;;;Australia
C63;Pooja;;;Ahmedabad;;;176.23;1;user62@mail.com;;;
C64;Ankit;Male;;Ahmedabad;;;;10;user63@mail.com;;;USA
C65;Simran;;;Delhi;;;940.07;1;user64mail.com;;;USA
C66;Priya;;23;Ahmedabad;25/8/2025;;659.47;10;user65@mail.com;;;USA
C67;Simran;Male;;Ahmedabad;;;;1;;967788975;0967788975;USA
C68;;Female;;Mumbai;30/12/2020;;;10;;945576722;0945576722;India
C69;Rahul;Male;;Hyderabad;9/5/2022;18/11/2022;1019.16;3;;9828355744;9828355744;
C70;Amit;Male;;Delhi;25/1/2022;;;4;;;;Canada
C71;Sneha;Male;;Kolkata;23/11/2023;9/6/2023;;10;;;;UK
C72;Sneha;;23;Mumbai;;5/10/2024;;1;user71mail.com;;;Australia
C73;;Female;;Bangalore;13/12/2025;;;10;user72@mail.com;;;
;Simran;Female;;Bangalore;22/9/2023;18/5/2023;;1;user73@mail.com;;;Canada
C75;;Male;68;Mumbai;1/4/2021;;;1;;;;UK
C76;Simran;Female;;Hyderabad;;;1958.1;2;;;;India
;;;;Bangalore;16/6/2021;;;2;user76@mail.com;961832582;0961832582;UK
C78;Amit;;;;20/6/2024;;2267.95;;user77mail.com;;;
C79;Kiran;Female;;;11/11/2020;28/3/2022;;1;;;;India
;Ankit;;;Chennai;11/12/2021;;1517.55;1;user79@mail.com;;;USA
;Rahul;Female;;Delhi;;;;1;;;;UK
C82;Pooja;Male;;Hyderabad;;;477.91;1;user81mail.com;;;Australia
C83;;Male;47;Bangalore;22/11/2025;;1105.17;;;;;Australia
;Priya;Female;;Ahmedabad;;;3720.97;2;;;;Canada
C85;Priya;Male;51;Delhi;;;;;user84mail.com;;;USA
C86;Kiran;Female;;Pune;;;;;;;;UK
C87;;Male;;Kolkata;5/12/2020;;;1;user86@mail.com;;;Canada
C88;Kiran;Male;;Delhi;;;;3;;9697738597;9697738597;Australia
C89;Rahul;;;Hyderabad;;;;10;user88@mail.com;;;
;Ankit;Male;51;Hyderabad;;;;10;;;;USA
C91;Simran;Male;66;;;;;1;user90@mail.com;;;USA
C92;Ankit;;;Delhi;21/7/2025;;2589.13;;;;;UK
C93;Ravi;Female;;Pune;5/12/2023;;;10;;;;India
;;Male;53;Kolkata;;;;1;user93@mail.com;9871388211;9871388211;USA
C95;Amit;Male;;Hyderabad;;;;;;938716416;0938716416;
;Simran;Male;;;3/2/2023;12/10/2020;;10;;;;USA
C97;Simran;Male;;Pune;;;;1;user96@mail.com;9762381262;9762381262;Canada
C98;Kiran;Female;;;;;;1;;;;
C99;Amit;;;Bangalore;;;;5;;9486647874;9486647874;India
C100;Priya;Male;;Pune;;;;1;user99mail.com;;;USA
C101;Neha;;43;Mumbai;;20/2/2022;;3;user100@mail.com;;;India
C102;Pooja;;;Mumbai;15/9/2023;10/5/2022;;;;;;Canada
;Simran;;;Mumbai;;;;10;;;;UK
C104;;Male;;;9/9/2023;22/5/2022;;10;user103@mail.com;;;UK
;Rahul;;;Kolkata;27/7/2021;;;10;;;;USA
C106;Priya;Female;;Delhi;19/2/2023;;;;user105@mail.com;;;
C107;Rahul;Female;;Ahmedabad;26/4/2021;5/6/2024;;;user106mail.com;;;Canada
;Pooja;Male;;Ahmedabad;;;;10;;;;Canada
C109;Ankit;Male;;;;;;10;;;;USA
C110;;;;Delhi;25/10/2021;27/8/2023;;1;;9168583214;9168583214;USA
C111;Simran;;;Bangalore;;;;10;user110@mail.com;;;UK
C112;Simran;Male;;Kolkata;24/10/2024;;;;;;;Australia
;Ravi;;;Pune;22/2/2022;;;10;user112mail.com;;;
C114;;Female;;;24/6/2021;22/7/2024;1520.66;10;;;;
C115;;;;Pune;14/7/2021;;2625.32;;user114@mail.com;;;
;Ravi;Male;;Chennai;;;;2;;9985835755;9985835755;Canada
;Pooja;Male;;Kolkata;7/7/2024;13/5/2025;;1;;;;Australia
C118;Sneha;Male;;;;;;10;;9686175993;9686175993;Canada
C119;Kiran;Male;57;Delhi;7/7/2021;;;5;;;;UK
C120;;;;Delhi;;;;5;;;;USA
C121;;;70;Hyderabad;;;;;;988871758;0988871758;Canada
C122;Sneha;Female;;Pune;;;;1;;;;USA
;Ankit;;;Chennai;;;;;;;;USA
C124;Pooja;Male;;Hyderabad;11/5/2024;;;1;;;;Canada
C125;;Female;;Kolkata;8/6/2024;;;;user124@mail.com;;;Canada
C126;;Male;33;Hyderabad;;;;;;;;USA
;;Male;;Delhi;1/2/2024;;;10;;;;Australia
C128;Ankit;Male;;Pune;7/3/2024;;;1;user127@mail.com;;;India
C129;Ankit;Female;;Hyderabad;;;384.1;;;;;USA
C130;Ravi;Male;46;Ahmedabad;;;;10;;;;USA
;Simran;Male;;Ahmedabad;;;;10;user130mail.com;;;India
C132;Priya;Female;;Ahmedabad;12/6/2021;;;10;;;;India
C133;Ankit;Female;;Chennai;;16/10/2020;101.52;5;user132@mail.com;9652552199;9652552199;
C134;Ankit;Female;;;2/11/2025;19/7/2024;;10;;98497196;0098497196;
C135;Neha;;21;Mumbai;29/5/2021;;3106.84;3;;;;Australia
C136;Ankit;;;Delhi;;4/1/2025;177.15;10;;;;Australia
C137;Sneha;Female;39;Kolkata;11/11/2022;;;;;;;Australia
C138;Ankit;Male;;Ahmedabad;22/6/2021;1/12/2020;;5;user137mail.com;;;USA
C139;Amit;Female;;Hyderabad;23/7/2024;12/1/2021;;1;;;;USA
;Ravi;Male;;Pune;;;4302.36;1;user139mail.com;;;
C141;Neha;;29;Kolkata;;;;10;;;;USA
C142;Amit;Male;67;Kolkata;29/11/2024;;3979.83;;user141@mail.com;;;USA
C143;Rahul;Male;;Delhi;13/5/2025;;;;user142mail.com;;;Australia
C144;Priya;Male;;;13/3/2025;;;;user143mail.com;;;UK
C145;;Female;;;;5/12/2025;;10;;;;
C146;;Male;;Pune;5/5/2021;;819.86;1;user145mail.com;;;USA
;Pooja;Female;;Chennai;;25/1/2021;4938.36;10;;;;Australia
C148;Amit;;68;Chennai;;;;1;;969755735;0969755735;Canada
C149;Rahul;Female;38;Pune;16/3/2025;20/1/2026;;2;user148@mail.com;;;India
C150;Amit;;;Ahmedabad;29/11/2025;;;4;;9843663784;9843663784;Australia
;Kiran;Female;28;;;;;1;user150mail.com;9234375714;9234375714;Canada
;Simran;Female;;Hyderabad;20/7/2021;;;1;;;;
C153;Pooja;Female;;Bangalore;;14/9/2021;;1;;977163816;0977163816;Canada
C154;Amit;Male;;Bangalore;;;;10;user153mail.com;972155538;0972155538;USA
C155;Neha;Male;;Bangalore;;21/12/2025;;10;;;;UK
C156;;Male;35;Hyderabad;11/10/2020;;2102.22;10;;;;India
;Ravi;Male;35;;15/5/2021;;;1;user156mail.com;;;India
C158;Pooja;;;Kolkata;;;3902.94;10;user157@mail.com;;;Australia
C159;Rahul;Female;;Bangalore;11/10/2024;;502.02;1;;;;India
;;;;Mumbai;27/3/2021;12/10/2020;;10;user159@mail.com;;;USA
C161;Pooja;Male;35;;18/11/2023;;;2;user160mail.com;;;India
;Pooja;Female;;Kolkata;5/8/2021;;;10;;989339866;0989339866;USA
C163;Amit;;;Chennai;;;;;user162mail.com;9121774277;9121774277;Canada
C164;Amit;Female;;Pune;18/1/2025;;;;;;;USA
C165;Pooja;;;Kolkata;;9/2/2024;;;;931353789;0931353789;
C166;Rahul;;;Mumbai;;;1368.23;10;user165mail.com;;;UK
;;Male;26;Chennai;28/4/2021;;;10;user166@mail.com;;;USA
;Ravi;Male;;Pune;;;;10;user167@mail.com;;;USA
C169;;;;Hyderabad;23/8/2022;;;5;user168@mail.com;;;
;;Female;;Chennai;;;;10;;;;India
C171;Kiran;;;Hyderabad;24/2/2022;4/6/2024;;5;;;;India
C172;Neha;Female;;Bangalore;24/12/2023;;;10;user171mail.com;9846259798;9846259798;Canada
C173;Simran;Female;;;2/6/2023;;;2;user172mail.com;;;UK
C174;;Female;22;Chennai;6/12/2024;;;;;;;Australia
C175;;Male;;Kolkata;;;;1;user174mail.com;958723499;0958723499;Canada
C176;Kiran;Female;;Chennai;;26/4/2022;;10;;971855566;0971855566;India
C177;Ankit;;;Pune;;26/3/2024;;1;;998832523;0998832523;Canada
C178;Priya;Male;;Bangalore;24/3/2022;;4177.93;10;user177mail.com;;;USA
C179;Neha;;;Delhi;;;3779.89;1;;91135516;0091135516;
;Ankit;Male;;Ahmedabad;;10/6/2023;2578.36;10;user179@mail.com;;;USA
C181;;Female;;;10/6/2022;6/12/2023;;1;user180@mail.com;;;India
C182;;;;;;;;;user181mail.com;;;USA
C183;Pooja;Male;;Delhi;;;;;;;;India
;Simran;Male;;Delhi;;;2530.03;10;user183mail.com;;;Canada
C185;;Male;37;Hyderabad;;;;2;;;;UK
;Ravi;Male;;Bangalore;;;;1;user185@mail.com;;;Australia
C187;Sneha;Female;;Pune;7/12/2020;8/3/2025;3124.58;;user186mail.com;9972896838;9972896838;India
C188;Ankit;;;;;13/4/2023;;1;user187mail.com;923743673;0923743673;
C189;Ravi;;;;2/10/2025;;;;user188mail.com;;;Australia
;Sneha;Male;;Hyderabad;;;;;;9987123952;9987123952;USA
C191;Rahul;Male;44;;20/5/2024;8/9/2023;;3;;929929886;0929929886;Canada
C192;;Female;18;Kolkata;27/9/2024;;3740.72;;;;;Australia
C193;Rahul;;;Delhi;22/10/2023;;;1;;;;India
C194;Amit;Male;;Delhi;12/3/2023;;;10;;9714934659;9714934659;
C195;Kiran;Female;;;23/1/2023;;;10;user194mail.com;;;Canada
